name;price;weight;manufacturer;barcode
Hotex;12713.1;2657.63;Cameron-Espinoza;39942883
Faxsing;96956.73;4219.89;Yates Ltd;21002205
Unotam;43616.19;9812.99;Tran PLC;27614303
Reflex;23274.71;409.97;Roman, Molina and Ellis;31759397
Suntip;32205.76;2198.63;Gardner-Roberts;06104313
Stansuntough;53893.4;2950.1;Bradley, Hicks and Campbell;42241478
Tip Touch;60833.65;266.84;Richardson-Kline;51361990
True Fresh;64540.67;462.33;Cook PLC;16025332
Warmtax;33038.22;4562.69;Clayton-Garcia;11025184
S--Tax;52012.91;879.67;Salazar Group;78917897
Trestone;70859.58;2630.81;Moore-Manning;98253463
Scotovetom;18967.1;6581.87;Meyers-Cuevas;42938491
Jayflex;34925.46;1567.79;Martin-King;71128269
Keywarm;88456.42;2159.59;Lutz Inc;61848443
White-Touch;18923.85;7543.25;Flores and Sons;05578948
Loteco;3120.82;3014.99;Ray and Sons;41519998
Ran-Fresh;16374.4;1077.78;Rubio, Miller and Sullivan;30846265
Kanhold;52306.68;5398.28;Adams and Sons;53845108
Lat Dintop;5523.77;5436.64;Smith LLC;41088951
Moveis;71302.92;8863.7;Jones-Rogers;29476176
Flexfresh;22431.77;8964.58;Scott Group;51100476
Solo Tonex;21192.91;2883.42;Lee-Campbell;40144375
Stimcom;39885.57;8487.13;Cooper, Marshall and Bowen;04443223
Villaquofax;88438.83;5288.76;Camacho Inc;86531351
Runzap;17345.97;533.1;Reid-Garcia;29014224
Dongjob;66272.24;5434.73;Holloway Ltd;78038486
Sub Donin;3852.63;8265.52;Watkins-Mitchell;21318108
Bluekix;25383.39;2304.79;Taylor, Clay and Thompson;11997634
Green Zap;26699.02;2538.22;Jones-Smith;89107553
Ronkeyplus;84372.11;7644.68;Shepherd, Jimenez and Hernandez;11175179
U-qvohold;99241.45;8420.21;Dean, Hill and Davis;18353846
Super Kaytouch;1504.24;3701.59;Wheeler-Stout;84711038
Betaair;82635.53;3050.98;Bass PLC;36818372
Redotcore;54994.08;9607.94;Brown-Alexander;16172777
Ton-Lam;54731.98;2740.02;Brooks-Mason;57327006
Haytone;32879.63;2736.24;Johnson-King;04323419
Donin;5204.49;8005.54;Ellis, Mejia and Morris;70977172
Hold Lux;30494.92;2570.32;Cook-Sutton;42429401
Son Soldax;72494.82;4827.92;Lewis LLC;22449849
Bamaptough;51705.08;7137.17;Mccullough-Edwards;92318274
Open Zamtech;1527.71;5611.84;Esparza-Harris;76448577
Alphastrong;35940.94;2184.18;Stevens, Hughes and Paul;84047069
Ventonamstrong;96573.15;7311.38;Valdez, Leon and Wood;85956582
Don-Touch;88700.29;1591.91;Hernandez Ltd;91925220
Lathome;8230.0;3509.58;Allen, Davidson and Glover;77792181
Re-Cof;62276.32;2462.08;Esparza Ltd;76393945
Superjob;37182.72;1680.77;Davis-Hampton;72410844
Quadlax;60844.8;525.18;Ewing-Clark;80253587
Free-Find;89415.57;7969.29;Golden-Blankenship;60290953
Danbam;54321.85;7449.38;Jones PLC;51681500
Stockzap;54830.1;5135.15;Johnson Ltd;21918131
Dontech;23115.88;9529.97;Tucker and Sons;15099945
Ankix;27255.85;6728.55;Pollard Ltd;73073888
Ron Lamlam;38833.6;4373.82;Adams PLC;02329567
Temp Lamstrong;88166.19;2425.5;Drake, Garza and Gardner;77945105
Hotlax;84984.37;8593.13;Hammond and Sons;32072310
Donfresh;62670.69;770.13;Cowan-Shields;75039820
Lexi Tone;92090.78;5384.76;Norton LLC;01978919
Ecosoft;88691.38;5435.55;Avery-Jones;87306217
Trislax;64150.64;4128.94;Marshall LLC;75786748
Med-Lux;464.35;2967.33;Richmond, Phillips and Wyatt;63051759
Joycore;82151.13;5878.93;Boone PLC;82716424
Ton-Touch;66047.21;7073.84;Long PLC;25460193
Fax-Tip;94722.42;5240.49;Murray LLC;59113928
Una Hotstring;92586.64;2219.57;Smith-Thompson;24292498
Quoeco;97106.89;4090.4;Cohen, Bowers and Smith;17070133
An Trax;99722.34;5184.2;Hayes, Salinas and Alvarado;81181667
Cof Statlam;31324.17;7767.02;Bird-Adkins;10378441
Golden Zunla;68087.01;9760.48;Wilkinson-Smith;27311844
Ventodex;83750.29;2936.86;Golden and Sons;05682911
Kandax;23732.86;5635.53;Mason, Wall and Miller;92817333
Grave Runlax;38882.79;6404.68;Rodriguez, Nguyen and Rios;77329325
Zatheco;88714.24;3515.71;Hicks-Mccann;83918483
Dalt Mattone;99784.12;5337.84;White, Brown and Garrison;10352397
Trandax;68626.67;6838.51;Mcdonald-Stevens;79502894
Kin Sonfan;63624.07;6143.13;Flowers-Colon;87380903
Contrax;1575.29;4702.18;Wilson, Pruitt and Santiago;78711365
Air Latlax;73225.46;2724.92;Rodriguez-Spencer;38830136
Touchlamtech;6445.33;4313.18;Anderson LLC;92200050
Voltouch;23635.7;4842.2;Nguyen, Wright and Navarro;99510268
Home String;66433.05;1858.01;Nunez-Collins;56529098
Medkeystring;1883.27;2221.05;Joyce Ltd;75952532
Konkla;78313.35;1877.86;Armstrong-Anderson;72136218
Fixlex;87583.81;4956.76;Bryan Group;45183300
Sumhold;69168.38;9455.13;Moyer Ltd;66048664
Saillamstrong;63108.64;1695.99;Griffin Group;78477117
Kin-Ron;2793.5;5892.64;Mejia-Wilson;42712749
Yearfix;79705.26;1072.73;Hall, Hughes and Jackson;12813797
Fun Air;58025.46;5213.78;Wheeler-Carson;70165784
Kan-In;19051.22;3800.11;Campbell-Mosley;97690801
Stantex;31979.86;7610.22;Ramirez Group;12317226
Kin Namstrong;34016.74;9451.55;Espinoza Ltd;19718668
Zun Tinnix;62354.02;889.3;Savage, Roberts and Carter;86064460
Runrunsoft;10576.66;8559.49;Henry LLC;17977425
Fix-Tax;37220.62;7729.07;Lopez-Hart;73489542
Hayis;6964.4;7229.51;Patel Ltd;14138508
Sol Cof;64134.95;4900.88;Maldonado, Campbell and Graham;85026964
Duoron;31564.31;2099.81;Miller Ltd;42529217
Freshfax;21731.92;2645.35;Haynes-Bautista;67677740
Namlab;74009.74;3528.55;Ward, Moore and Bond;19786865
Zoomtax;92854.52;3198.23;Crosby LLC;60686633
Hotkix;80674.19;7426.15;Santos LLC;38994159
Keytom;53943.73;5767.13;Tapia Inc;09012639
Techbam;94812.84;8179.2;Williams PLC;93052313
Freshjob;77621.0;3487.86;Gardner PLC;11934899
Icetrax;3640.95;1099.46;Nelson-Khan;49034196
Sancom;94342.86;8901.68;Jacobs-Turner;25304664
Zumma Tough;55042.18;855.86;Black Group;91306791
Fixex;32978.07;5207.62;Smith-Brown;56684384
Techtop;10587.19;8952.14;Dunn Group;12206704
Anremdox;91828.69;3543.87;Estrada, Mcgee and Scott;65081297
Opelux;77888.84;305.18;Garrett-Schultz;94526387
Duofix;17944.88;6713.96;Jones Group;19562438
Rankhome;17591.98;4034.56;Sherman Inc;10279595
Daltex;88326.61;2523.52;Franklin-Baker;66203254
Techtanla;60038.43;428.95;Golden Inc;83675904
Vaia Apcof;8015.59;6450.13;Lin, Thomas and Mitchell;29372195
Xxx-flex;99333.66;7868.75;Schultz, Thompson and Hoffman;39568434
Hotphase;59518.31;6823.89;James-Reed;13499631
Santop;57486.17;1151.04;Chambers, Simmons and Allison;03166321
Ranlax;73317.81;6173.33;Walsh Ltd;04683278
Movedax;15659.38;8929.5;Anderson, Griffin and Garcia;01443967
Viafan;80372.51;2044.02;Barnes, Jones and Shelton;45185878
Move Finhold;15833.59;6373.57;Frye, Browning and Vazquez;64439532
Lam Tax;35316.28;3756.51;Hernandez and Sons;17436441
Tan Tech;10342.98;2880.58;Sullivan-Trevino;25689136
Treslab;14391.57;5093.35;Keith-Perez;38512582
Touching;32246.74;4384.11;Wilkinson, Stone and Wilson;62464338
Zamdox;44441.02;7976.72;West Group;24792233
Airstrong;12603.69;2950.61;Williams Inc;24355810
Sonhold;93341.29;3409.64;Cole, Rice and Alexander;11027904
Techex;86340.75;7949.45;Bailey-Gilbert;92441804
Salttough;42373.52;1285.41;Shepherd, Lopez and Perkins;94531893
Newex;23294.2;7543.69;Baker-Evans;25229301
Quoquadtop;33465.19;4991.09;Grant-Williams;57276779
Sing Fix;6466.18;9584.87;Wilson, Diaz and Howard;58464991
S-dom;53569.85;2306.55;Robinson-Todd;03811511
Voya Lux;84152.78;5760.39;Miller, Fernandez and Lawson;29174195
Fase Dom;55360.45;548.51;Mcdaniel, Harris and Church;40311586
Infind;93571.83;2168.52;King Ltd;66574545
Overing;2459.59;8753.27;Burns, Neal and Acevedo;91639332
Unaex;79029.01;3963.93;Garcia Group;59885818
Lat Candax;10223.73;9834.91;Miller Ltd;41214466
Touch Apit;64033.09;7317.3;Stevenson, Graham and Ross;89184608
Volttech;24963.71;6521.72;Ryan Ltd;94696646
Hayeco;41728.65;2990.33;Lee-Murphy;62815246
Driptam;9557.28;6891.9;King LLC;35735298
Touch Sailtouch;92341.91;4030.8;Hernandez, Patton and Yang;45869228
Quote-Warm;60080.78;5088.61;Hoffman-Dalton;75962197
Nimzap;29409.16;6651.41;Bryant, Rowe and Mcgee;11735113
Alphalex;18541.86;5571.29;Huber Inc;41449868
Trusthome;68443.72;3036.45;Anderson and Sons;79891349
Goodtip;45800.57;8768.61;Delgado, Henry and Parker;64613956
Kongofresh;46404.72;3562.31;Castaneda and Sons;45751288
Lamkix;62399.52;2813.99;Dalton, Diaz and Salas;49840964
Zaamair;82321.93;9834.67;Ferguson PLC;65658154
Home-Tip;89567.85;928.3;Weeks-White;71363141
Spanflex;80906.65;3981.31;Mcclain-Sullivan;50748808
Goldtech;99986.36;4737.45;Potts-Lawrence;01510195
Triodom;26042.73;1301.53;Guerra, Munoz and Carter;51753108
Zumplus;87945.93;2828.49;Curtis, Bauer and Brown;69207600
Konksuntam;65297.67;8756.07;Jenkins-Wilkerson;96971024
Temphome;92457.9;9652.0;Perry, Dawson and Edwards;81160358
Stancom;22500.05;9941.1;Joyce-Hill;60775603
Reovetech;22794.5;553.68;Hendrix, Owens and Perkins;91703101
Stringdox;25987.5;3607.15;Anderson PLC;40379692
Icelex;33247.0;4777.0;Brown Ltd;36073665
Round Runkix;59624.38;1742.85;Long, Green and Nelson;54563414
Is Eco;79330.38;9590.12;Bell-Johnson;45543524
Eco Traxlam;74304.42;267.82;Hanson, Jimenez and Hanson;18467420
Ontolam;76391.52;3696.78;Cantu, James and May;90727368
Blackozetip;42251.22;4127.02;Mclean-Gomez;83572869
Itphase;41535.17;8322.25;Kramer-Nelson;71971544
It Sunlab;39519.47;6204.74;Kennedy-Zimmerman;97418085
Vila Soft;63311.93;4321.38;Boyd-Pittman;53333308
Bluetouch;12164.05;5293.02;Cook and Sons;87970418
Lazap;38117.9;208.26;Rogers LLC;63037647
Strongtex;8873.41;6049.33;Norman, Crawford and Luna;30822412
Hototzap;94749.76;7792.78;Frank LLC;91895905
Movetip;73355.47;5989.2;Henderson, Green and Saunders;48544511
Zaamity;51032.84;1333.48;Cannon, Nelson and Shaw;71835969
Biowarm;42570.45;9635.0;Carlson-Roberts;67606825
Finzap;42212.84;9220.27;Dennis Ltd;73654582
Ittraxtough;38368.32;1028.39;Harrison-Miller;36701308
Sing Zoocom;80196.95;5438.23;Mendoza-Hall;04946700
Fix-Fax;81647.54;1364.86;Williams Ltd;26126470
Tres Santop;82324.97;4295.48;Hansen and Sons;41635087
Trisdax;62598.52;6339.49;Morgan, Anderson and Mccullough;75695514
Onto Ozelax;55751.37;9407.94;Schwartz LLC;28234388
Rank-Fan;65218.01;6076.3;Payne, Daniels and Reed;57332970
Zen Ronlex;43528.17;9809.26;Clark, Schaefer and Davis;76721908
Zonfan;38946.93;7088.9;Hicks Inc;98234356
Eco Otla;12015.99;958.7;Peterson, Cook and Davis;98475643
Treetam;218.34;3651.75;Gross Inc;47884410
Unisoft;55254.17;5949.75;Weber, Martinez and Lee;64939223
Groovelax;73216.45;8098.48;Jimenez, Brown and Schroeder;42557166
Golden-Top;25638.91;5298.95;Cohen, Pace and Davis;73034001
Kaydax;46574.29;9013.01;Nunez and Sons;56174168
Sanair;95244.43;2523.68;Hernandez, Orr and Smith;40820385
Geoaning;12171.36;411.92;Taylor-Rivera;41650776
Via Zoocore;54733.35;2149.17;Cobb, Evans and Velazquez;46310149
Xxx-sancof;91851.84;6135.22;Norton-Johnson;70424355
Namphase;22401.55;5118.36;Wilson-Schwartz;94748567
Konbam;43682.05;484.18;Richardson, Gaines and Stewart;78539655
Spantax;74771.21;7353.06;Russell-Soto;37797362
Tiphome;93817.88;9416.83;Taylor-Morris;52405365
Lat Statstring;54017.94;1857.13;Mcintyre-Gray;54106215
Lamron;72199.69;3114.86;Waters-Anderson;03675823
Freshmatjob;2886.69;9012.29;Lee Ltd;21278570
Tripple-Light;32422.23;9848.51;Tapia and Sons;12561919
Whitejoywarm;63246.48;9866.14;Henderson-Walter;00679350
Fun Strong;39012.83;2044.05;King-Case;67923670
Statzoostrong;65142.46;4628.44;Martin-Anderson;25118148
Reflex;15348.88;7438.53;Dixon-Turner;19290775
Contodom;34236.93;3045.81;Anderson, Zamora and Wheeler;62600392
Goodstock;98251.7;7037.3;Bates, Garrett and Hughes;91921567
Warm Siltouch;17583.09;8644.97;Garcia Inc;66157038
Duofix;53566.17;9758.73;Mitchell Group;72336076
Uno-Dex;42516.8;1111.58;Harvey-Davis;63815061
Zone Sing;81767.5;8050.02;Lewis, Smith and Cox;52884849
Zun It;50597.91;4048.24;Martin, Lutz and Rivera;93729314
Solkix;59366.25;7345.24;Palmer-Miller;95282930
Sao-Fresh;34149.05;1126.87;Wiggins PLC;91530745
Alphatouch;32865.87;5796.19;Jennings Inc;55447096
X-anstring;7037.36;778.7;Silva Ltd;66014904
Spanoteco;57870.84;873.4;Hoffman PLC;90049972
Transtex;87473.95;6450.3;Davis-Garcia;91270399
Domtop;91932.42;1060.19;Morris Inc;20847616
Airfax;13325.85;6762.06;Donaldson, Jefferson and Vaughn;90533372
Indigo-Lex;15900.25;9656.84;Sharp, Ramirez and Hodge;51934538
Alphatex;1915.41;8630.9;Anderson and Sons;63740004
Biotex;74671.38;4746.3;Park-Adams;65409923
Uni-Air;77069.95;7939.82;Campbell, Moore and Boyd;53926326
Don-Touch;43627.96;7306.13;Stewart-Elliott;49170504
Sunfix;90796.31;2071.67;Murray-Hughes;39075994
Zamtech;27451.79;9179.29;Jimenez-Mcgee;38718120
Gold Lam;39266.29;8466.08;Tapia, Fleming and Donaldson;98336746
Ontofan;43635.19;2705.42;Hunter, Sanchez and Jimenez;54819382
Roundtech;70691.4;2180.36;Brown and Sons;97914525
Ventozimstring;86249.1;2977.22;Smith-Taylor;55603126
Bigkix;37919.94;2324.82;Berry-Prince;92255715
Damlamdex;58420.7;8410.8;Wright, Lane and Smith;11458883
Mat Top;76204.76;5090.74;Jones Inc;05141425
Lat Taneco;2823.99;2507.15;Fuller Inc;85121065
Nam La;85609.01;8068.63;Lewis, Molina and Clark;15865779
Apcom;57614.54;5804.75;Cook Group;73296331
Fasetam;12226.22;9190.39;Caldwell LLC;92695177
Strongdom;2365.83;4051.4;Wilson, Martinez and Ross;20916176
Lating;5973.04;7060.95;Lopez, Mcmillan and Finley;24490115
Light Fax;43739.41;794.67;Munoz, Brown and Schultz;29137473
Triojob;89976.56;2484.8;Turner PLC;03805657
Zummatone;59719.99;6619.74;Hill Group;07560156
Unitrax;35932.92;2987.16;Lopez, Shepherd and Jenkins;44144043
Physair;74334.33;1588.56;Lopez, Johnson and Weber;57531410
Bigsing;90620.77;2997.57;Williams-Burns;28124665
Yeartex;66708.25;1272.61;Mejia Inc;45385339
U-quotax;75099.38;6651.36;Vasquez, Davis and Miller;32484151
Zathin;61954.55;3876.22;Jones Ltd;82053956
Solohome;69996.22;2602.74;Wilson, Rodriguez and Andrews;46558053
Whitetop;72430.84;1767.38;Perez Inc;19138527
Trustlam;86506.97;9981.8;Foley, Harvey and Clark;88596570
Lexi Ranlight;74062.34;1899.8;Harper-Brown;59233053
Groovehome;52482.48;8215.9;Campbell, Abbott and Gonzalez;71357003
Biophase;56764.2;7056.67;Garcia PLC;54378339
Bio Trax;68723.42;4786.97;Jones, Smith and Murray;51383800
Zonetam;81438.01;2859.21;Cruz PLC;13144043
Damkix;91497.41;6408.34;Macdonald PLC;16206007
Yearin;2383.96;1946.02;Freeman Inc;93563789
Zoojob;19540.04;4223.19;Pierce-Thomas;77923677
Trust Zunlab;17635.02;5027.03;Lee Group;31723619
Bamkix;19144.41;5897.55;Johnson, Reynolds and Garcia;66461012
Donmatfind;34447.0;2099.84;Murray-Hamilton;76148286
U-light;3603.1;2940.09;Rivera-Lynch;61000520
Geotech;8360.51;7298.92;Rush, Solomon and Pham;98686056
Lexibam;91294.31;9886.65;Davis-Davila;43632077
Damtech;22633.4;1059.04;Reyes Group;64600420
Ranhold;96669.78;9781.5;Perez-Andrade;45225178
Solodox;40350.78;7654.87;Williams, Larson and Rowe;93007030
Indax;47288.95;3707.79;Jefferson, Guerra and Nelson;50155934
Beta-Fan;12538.7;9874.63;Hays Ltd;78969520
Med Zimtouch;61120.04;1497.56;Bartlett-Williamson;53800862
Mathnamtech;28862.29;3668.73;Ward PLC;01067217
Sum Ity;48552.63;5876.66;Hawkins, Warren and Gonzalez;98102624
Quotelotfind;47622.93;8567.39;Whitehead, Ryan and Smith;42319375
Y-warm;30412.23;4974.25;Guerrero-Smith;50961481
Transsaoflex;48275.7;7696.7;Garcia-Pratt;27045077
Kin-Hold;42617.05;6575.07;Harris-Miller;71455167
S-fan;54310.16;2010.95;Hernandez Ltd;17301442
Villadox;56089.06;2744.98;Taylor-Walker;55382748
Fresh-Is;3828.04;4960.74;Carpenter LLC;68145026
Xxx-soft;24587.71;7439.05;Ochoa, Mitchell and Rodriguez;34118184
Movedublam;68861.16;5773.66;Pace-English;36821907
Plustech;4324.8;4373.27;Castro LLC;64941028
Quadmatfax;9121.96;2473.88;Nguyen, Jones and Turner;49971408
Volfind;46247.78;1209.43;Howard-Curry;07487491
Rank Light;88783.69;7382.16;Lee-Carter;37722999
Una-Lab;25909.87;8771.48;Cunningham Group;94700527
Raneco;20398.65;7678.13;Parker and Sons;95655802
Qvobam;56180.96;3605.07;Murphy PLC;30464209
Freecore;42492.0;189.23;Johnson-Smith;06298814
Touchtip;44852.29;6856.2;Rodriguez, Wilkins and Ferguson;38469237
Treefresh;74866.03;7473.96;Fisher, Goodman and Hernandez;13629366
Daltziming;38967.64;6599.47;Olsen, Norman and Yu;11906605
Unoeco;94056.99;585.97;Jordan PLC;47142947
Sonlex;31208.95;4788.41;Johnson Inc;68115050
Matcanhold;12021.51;7512.61;Walker Ltd;87943450
Dentoredlab;45734.3;9723.07;Bender, Huffman and Colon;03774908
Lexiwarm;30403.4;8597.81;Gonzalez-Reyes;20335434
Jayphase;363.08;1806.37;Higgins-Brown;57900377
Soloair;13288.77;9260.89;Harrison LLC;78740280
Quo-Tone;73516.46;414.89;Greer PLC;66336969
Newcom;74283.68;8827.44;Edwards LLC;38669774
Qvoing;1657.62;3228.29;Dixon PLC;53401670
Tran Keyis;60018.28;3301.82;Harris-Arnold;97906490
Double Tip;26948.54;7352.87;Neal PLC;38168611
Kanlex;79429.04;5383.77;Moore PLC;37591335
Villaex;95548.06;1033.83;Fields-Cunningham;40566146
Opensing;33554.2;743.03;Finley LLC;61571549
Vaiadex;76480.76;3190.97;Thomas PLC;25530520
Kaystring;64056.89;6679.84;Bailey LLC;28961062
Villa Danis;87342.11;9184.82;Patterson, Green and Fitzgerald;09517301
Saofresh;76645.59;6437.34;Nielsen, Thompson and Gardner;35181309
Inchlex;53723.8;9550.86;Buchanan Inc;22924643
Lexifind;10606.59;8931.51;Cervantes, Thomas and Henderson;01284546
Hatlam;86367.32;1347.65;Brown LLC;51832476
Doublehome;99764.9;6608.4;Lee, Smith and Martin;06937560
Job Job;28611.06;2826.24;Velazquez PLC;97928126
Zaam Zootone;13999.82;1479.99;Murray, Nelson and Rose;68508814
Kin Aptam;41089.17;1029.51;Kirk Inc;59098577
Fixhold;66380.64;3170.14;Williams-Wilson;75633738
Zen String;31204.89;8271.74;Edwards-Yu;03796160
Tressunhome;20205.15;3808.08;Charles, Villarreal and Calderon;29445059
Zerfax;28338.65;3127.55;Ramos, Clark and Wong;55845786
Ventocom;83660.77;9052.51;Smith-King;56018486
Keyfan;65732.06;7321.93;Smith PLC;46289735
Zone In;37203.57;8566.52;Pierce, Mosley and Cuevas;18203172
Qvo Tom;69879.56;6005.37;Smith, Perry and Bond;77992482
Overin;57871.91;8400.53;Day-Johnson;02172989
Zum Finlex;54728.44;8933.36;Tucker PLC;91929020
Vaia-Lax;79208.45;3532.15;White, Clements and Patel;15716927
Bluezap;99558.7;5392.68;King, Leonard and Clarke;76857638
Airit;93689.04;6863.53;Anderson Group;00242530
Instring;92400.29;8538.37;Torres, Mcdonald and Walker;23553682
Over Findax;78531.21;4036.61;Edwards, Allen and Lopez;40107035
Trustlam;99701.14;937.11;Morse and Sons;37212001
Truedom;80815.42;5802.75;Brooks, Boyle and Moore;77489470
Lamtone;73978.79;8267.06;Dennis-Barker;76466106
Zam Ron;30914.87;580.97;Heath, Robinson and Wells;82416072
Ontoraneco;21699.37;4292.59;Edwards Ltd;74685967
Bigflex;87119.48;1518.69;Gomez-Irwin;49057546
Joydex;43124.29;9550.3;Hayes-Ward;80747444
Bigtam;5980.56;9628.12;Brooks-Schmidt;28598930
Stan Tam;5024.87;5914.11;Allen, Taylor and Hernandez;83266492
Can-Air;29346.53;1831.82;Waters-Morrow;22919670
Tiptamlam;87022.33;8020.56;Delacruz, Osborne and Shaw;30871014
Lab Hold;15298.05;1537.74;Johnston-Riddle;19153698
Opendax;69513.72;6244.82;Dixon Group;62423502
Stim Fan;52586.49;7771.95;Norman-Shaw;82494360
Scotdomdox;28579.63;7675.51;Rollins-Thomas;06723781
Apdox;90414.74;8018.46;Sloan-Oliver;94538182
Donnix;89621.17;1312.26;Garza, Scott and Tucker;04352143
Toughis;96678.52;766.71;Stuart, Ochoa and Daniel;72971857
Transzap;12049.56;9120.95;Peterson and Sons;68759674
Tempbam;30976.81;8682.68;Wallace PLC;67026777
Zunfind;9422.57;6735.9;Smith, Brown and Mitchell;96472408
Plusbam;16743.58;2036.89;Hernandez, Garcia and Phillips;38528491
Single Remcof;32025.97;6005.67;Acosta, Barnes and Jacobson;09058514
Unoron;95200.86;3901.61;Durham and Sons;92805866
Singlight;88821.03;4820.19;Smith Inc;83623370
Techphase;81874.79;1392.59;Webb Group;71399300
Indigosing;35342.71;8664.4;Jenkins LLC;33045733
Suntouch;90223.33;218.46;Powers Group;20985196
Sonlight;63844.28;9441.65;Mcknight-Ortiz;91229625
Dingit;23548.96;8966.63;Spears LLC;03350799
Y-lex;93107.46;5562.34;Foster-Boyle;56538311
Physdom;56721.97;9741.65;Hernandez LLC;28508762
Trippletam;51191.97;5694.06;Moore, Cordova and Wells;09514560
Bluefresh;54217.46;992.87;King-Ross;90952975
Tran-Fax;47499.86;5868.89;Bass, Anderson and Hall;70832266
Zooozetop;77066.62;2306.51;Bright, Brandt and Fernandez;20119119
Dom Namdox;76650.16;7611.95;Smith, Mendez and Bray;98213535
Lightlottech;57867.58;8977.57;Cervantes-Porter;57258201
Tripple-Ex;59996.05;3704.95;Brown, Johns and Gordon;88916200
Airbam;79944.76;9207.43;Mcdaniel Inc;35181118
Dentotech;41163.64;9736.97;English-Nelson;83345517
Key Phase;24148.59;1611.64;Hernandez, Byrd and Lester;60871855
Ventoin;84128.93;5301.08;Nguyen-Stevens;79395489
Whitestock;23142.04;3762.78;Duncan-Potter;80986775
Stimstring;19444.32;9219.23;Solis-Duncan;18671995
Zoom-Tip;45736.29;9389.59;Miller-Maxwell;97432340
Opeair;36697.37;5505.79;Gomez-White;27309681
Jobfax;56085.22;1950.93;Henderson-Williams;25748222
Sunapphase;80614.46;7297.75;Jenkins, Larson and Davis;28299271
Tanjob;55405.8;509.81;Cline-Dodson;89740309
Unokix;82385.16;4105.02;Salazar-Nichols;25192827
Sanlam;42477.73;5639.73;Bennett PLC;25515398
Voyasing;76917.5;8755.57;Murray, Martin and Phillips;47165625
Dantone;69640.44;4327.28;Ashley-Sullivan;63180947
Geokix;64128.78;4140.62;Zimmerman, Watson and Delgado;03951361
Tip Com;27744.63;4452.08;Williams-Myers;11001515
Touch Joyit;99102.35;4361.4;Rodriguez LLC;13926793
Trippletrax;93649.65;9322.27;Glass, Hays and Scott;89010815
Saltity;45863.99;6767.91;Miller, Johnson and Bryan;92597006
Hottech;19352.57;2470.76;Sanders-Hicks;55510691
Stansoft;5628.0;5375.48;Saunders LLC;76687662
Faxsing;96487.04;9474.19;Brown-Taylor;27494974
Tranlex;14195.87;3206.37;Miller-Holland;48472975
Softsonzap;56131.83;6014.22;Ferguson, Thompson and Jones;85065369
Labfind;26917.61;3315.06;Williams LLC;33419084
Green Top;91596.17;7274.2;Castillo, Stanton and Davis;21589072
Dentolight;81511.15;6962.75;Clayton-Brown;97195375
Grave Com;34686.6;370.01;Rodgers, Grant and Padilla;99604783
Fresh Fan;84591.34;6220.1;Hampton-Malone;69379161
Nam Hotfresh;80257.63;772.07;Gilbert, Poole and Kirk;11867050
Dalt Solsing;43503.82;7804.67;Hall, Simmons and Crawford;16255845
Toughla;47818.07;722.08;Paul, Walker and Williams;01729719
Supertrax;60135.88;6535.42;Tran-Rodgers;11038658
Dinghold;73635.43;8492.08;Price-Davis;17497022
Dontom;64034.64;7429.64;Myers, Tapia and Perkins;11946151
Tampjoyzap;32043.17;3472.15;Smith Group;24876636
Solo Fintop;4954.23;666.05;Baker, Sellers and Reese;74338504
Zummasanlight;77295.64;6032.09;Patel, Raymond and Ross;86508346
Stockstock;69047.75;2529.68;Cervantes, Gentry and Marquez;48386258
