material_id;center_id;shipment_amount;shipment_cost;shipment_time
22;527;14;10227.61;96
23;513;31;39295.89;32
23;972;15;11592.83;39
23;341;20;44409.19;74
23;655;60;35244.55;54
23;872;100;21636.05;61
23;1087;47;41100.31;68
23;1003;31;12804.24;1
23;981;3;40213.77;42
23;817;39;24822.9;80
23;408;30;13258.68;3
24;460;28;26154.79;2
24;1090;4;19413.73;35
24;287;75;31268.01;81
24;432;86;33758.91;73
24;364;50;21713.03;89
24;1046;32;27981.4;25
24;1066;34;34617.68;42
25;866;58;43762.48;70
25;640;32;22612.38;61
25;503;12;32869.92;43
25;397;12;10573.82;88
25;435;59;21235.81;81
25;884;37;36501.82;29
25;742;46;37405.63;58
25;921;85;47206.06;57
25;348;38;49103.32;19
25;759;93;19360.03;7
25;449;38;17093.45;45
25;508;57;37962.59;1
25;46;49;36968.19;16
26;248;26;17990.78;52
26;571;71;15855.11;60
26;959;50;16645.71;17
26;1091;20;29958.12;73
26;635;54;37041.7;5
26;428;1;32661.09;41
26;239;56;12768.43;74
26;74;46;44343.36;16
27;363;54;36816.87;45
27;68;32;46890.84;64
27;507;62;10603.66;72
27;122;85;36189.11;3
27;139;7;17517.36;76
27;236;47;13721.14;66
28;656;16;17042.36;44
28;654;46;37875.57;69
28;305;14;27427.59;75
28;989;17;39166.65;64
28;116;71;38877.74;17
28;1012;93;15272.86;60
28;625;34;31637.95;13
28;609;69;16035.98;2
28;266;57;39740.26;64
28;88;52;30680.53;6
28;77;21;22881.0;19
29;1054;59;16505.14;9
29;147;21;44207.43;61
29;1023;75;22832.15;15
29;965;14;45802.23;73
29;1017;16;33493.89;88
29;949;65;48673.43;69
29;315;82;48307.67;30
29;531;59;31064.69;56
29;549;69;29346.48;75
29;679;45;30272.66;40
29;581;45;15427.24;93
29;751;72;31207.96;76
29;804;30;31810.62;41
30;402;91;26690.37;2
30;724;69;23315.74;74
30;307;35;21662.04;80
30;52;11;18338.35;69
30;1044;8;15287.04;40
31;799;93;25552.39;46
31;653;31;32127.49;55
31;510;2;42353.28;26
31;511;59;26485.11;50
31;1013;15;36971.71;66
31;883;37;33617.49;15
32;145;32;41018.28;1
32;172;3;20785.87;80
32;489;9;42738.04;96
32;86;7;20788.72;97
32;422;84;27519.27;59
32;1060;38;10401.96;83
32;794;47;29725.1;36
32;1036;87;44444.93;64
32;555;34;31483.17;92
32;676;2;14031.97;76
32;203;55;19490.83;86
32;781;90;45804.44;1
32;183;75;22870.53;22
32;132;86;45829.38;33
33;184;15;41421.5;82
33;304;58;43745.49;2
33;459;91;20418.83;95
33;231;52;21834.24;96
33;680;74;38639.67;42
33;863;100;10247.32;18
33;1020;40;18299.11;34
34;1006;95;36545.88;81
34;445;74;35631.56;43
34;288;100;13462.45;23
34;1002;90;36669.77;36
34;528;62;47185.75;86
34;181;99;49396.85;73
34;457;17;32324.63;21
35;17;21;33665.27;29
35;1071;89;24826.42;31
35;394;88;40598.54;63
35;152;43;14965.43;81
35;453;76;25633.77;58
35;208;7;34598.16;46
35;726;69;32344.39;73
35;588;25;12110.81;42
35;952;30;30944.95;86
35;73;49;18511.42;4
35;324;27;18659.58;98
36;988;54;20553.64;12
36;264;38;15478.2;7
36;914;17;31559.84;76
36;805;69;46948.91;23
36;909;40;19257.31;61
37;339;21;41336.22;41
37;467;79;11565.79;52
37;61;55;29053.9;31
37;15;32;35546.18;15
37;547;62;47245.73;60
38;353;53;13295.32;8
38;373;94;43849.09;20
38;584;39;46223.38;30
38;407;48;27125.56;17
38;509;30;18766.0;6
38;135;68;17881.63;45
38;284;66;19565.45;48
38;125;63;32675.71;14
38;842;27;37387.9;35
39;209;65;40065.9;90
39;300;48;18796.74;64
39;389;45;49257.48;4
39;539;47;13613.71;89
39;1019;47;46559.26;14
39;725;19;49673.32;16
39;865;72;16938.23;84
39;529;19;15093.66;67
39;911;77;16031.1;18
39;942;27;32869.07;29
39;870;72;25894.86;10
39;436;4;19998.27;67
39;971;97;49761.73;67
39;72;74;37330.5;50
39;701;61;28591.67;11
40;684;76;12360.08;7
40;589;75;23196.69;21
40;412;4;36628.03;59
40;336;42;46566.54;26
40;102;64;34045.69;57
40;126;50;43286.05;72
40;761;49;23633.41;69
40;634;74;19482.18;21
40;366;26;35343.51;24
40;293;23;34734.39;53
40;59;49;16071.56;37
40;249;22;36850.68;69
40;411;45;36029.54;11
41;523;78;44645.57;47
41;371;56;16386.75;62
41;633;45;19543.47;24
41;210;68;20515.5;48
41;296;75;46244.71;1
41;715;33;42870.13;97
41;352;66;11495.39;72
41;916;42;47956.32;90
41;607;24;17375.67;74
41;1064;48;23320.45;72
41;901;65;46161.13;58
41;776;79;30682.83;36
41;298;30;47895.01;94
41;855;75;22118.76;66
42;84;87;37492.99;72
42;978;64;13145.73;36
42;750;1;49089.29;96
42;81;11;13024.51;96
42;561;100;15076.15;77
42;822;19;28267.32;72
42;238;82;18525.68;81
42;343;20;38958.66;92
42;270;54;45973.57;51
42;119;28;39525.82;65
42;71;75;26398.57;43
42;40;75;43108.0;95
42;107;31;20751.6;93
42;811;17;38766.77;81
42;517;85;20651.17;50
42;417;85;43722.23;51
42;881;85;23215.09;83
42;1083;24;49886.01;35
42;764;66;47908.61;49
42;779;99;31526.9;40
42;986;13;42187.3;57
42;1027;73;34647.7;59
42;814;83;36649.88;37
42;1079;81;24677.05;43
42;788;88;14694.61;52
42;206;18;16266.29;63
42;468;69;41515.54;99
42;1055;100;22734.64;22
42;878;14;35983.71;30
43;624;22;47038.85;68
43;443;87;37250.22;93
43;479;67;36145.34;14
43;285;87;26903.62;68
43;651;28;45162.47;53
43;1080;13;20879.48;95
43;694;91;25560.66;63
43;1034;48;48942.98;79
43;382;91;37487.26;3
43;327;59;20954.75;6
43;475;31;12595.47;64
43;83;69;30958.1;92
43;796;99;20361.75;29
43;644;40;31981.73;18
43;568;47;30686.88;96
43;448;67;14069.27;87
43;730;65;11346.62;88
43;525;99;18575.27;17
43;642;91;35243.57;79
43;237;5;27984.3;83
43;1005;93;15969.6;86
43;850;81;32692.54;54
43;538;3;19561.71;79
43;1072;58;22438.21;87
43;902;2;31629.21;43
43;404;30;14997.88;87
43;775;60;21332.61;85
43;290;58;46155.9;8
43;636;9;13404.43;56
43;769;34;41361.62;11
43;880;49;35787.97;46
43;487;63;31763.46;22
44;461;45;42330.74;90
44;976;66;46205.92;11
44;714;75;42880.41;67
44;173;58;41783.56;60
44;96;76;18385.2;37
44;864;87;31773.69;97
44;274;24;26896.69;15
44;535;6;23037.59;24
44;50;94;28661.3;26
44;552;40;49732.86;92
44;614;2;32691.02;10
44;488;33;33743.4;10
44;433;31;14345.22;80
44;159;64;11310.02;92
44;1099;79;33481.62;22
44;659;92;17859.81;37
44;43;9;48155.43;36
44;629;8;24634.3;92
44;734;75;17877.38;93
44;746;98;35804.5;12
44;1025;50;21657.93;38
44;1028;53;22361.07;47
44;1047;91;23154.94;86
45;661;28;31531.46;79
45;518;60;38401.75;7
45;346;65;20383.49;58
45;771;6;26860.47;45
45;557;20;25702.18;15
45;6;31;47666.33;33
45;496;56;23531.42;16
45;632;8;26447.77;90
45;90;43;39342.41;52
45;772;93;46759.76;59
45;695;45;40714.19;32
45;1024;8;17664.03;25
46;369;45;41937.64;80
46;1059;73;17835.34;46
46;683;97;26170.77;87
46;962;45;41837.26;28
46;1010;66;21331.83;86
46;462;89;28041.13;51
46;664;79;11661.4;10
46;501;23;29329.68;23
46;929;38;17853.32;26
46;187;41;47493.25;90
47;1082;79;37689.04;95
47;504;50;48390.81;14
47;1018;52;30237.13;85
47;451;100;33127.73;3
47;472;94;40743.01;61
47;97;25;38308.49;25
47;128;59;11620.05;18
47;713;49;49563.66;52
47;743;76;19663.94;75
47;193;100;38806.13;12
47;820;29;22630.12;98
47;760;9;10957.19;52
47;30;84;13489.22;56
47;166;93;19123.72;77
47;608;78;30110.56;91
47;280;5;46995.09;79
47;585;32;20227.15;74
47;232;86;33301.74;23
47;24;39;28177.21;22
47;177;65;41024.92;5
47;690;50;40508.4;15
47;291;57;13281.06;80
47;316;42;42498.38;28
47;887;15;35660.62;15
48;437;52;19142.95;18
48;707;48;37130.51;37
48;114;42;44915.37;5
48;650;31;19792.59;73
48;308;30;11801.28;24
48;82;3;27450.79;87
48;587;32;32434.63;65
48;809;10;49010.29;76
48;338;31;10420.46;51
48;63;28;21546.43;5
48;225;99;37997.89;95
48;567;49;46718.4;52
48;281;4;32132.04;65
48;665;41;16309.94;37
48;179;40;23121.07;55
48;553;57;22293.05;6
48;566;64;44146.16;74
48;399;35;35481.44;44
48;156;88;13324.32;96
48;295;94;16418.02;5
48;871;63;10118.73;2
48;626;36;28701.16;94
49;542;20;43226.4;78
49;574;54;36957.89;40
49;1022;33;36828.77;40
49;907;97;14215.25;72
49;498;73;10370.71;11
49;596;41;20153.96;19
49;213;74;16511.79;34
49;982;96;29983.51;36
49;622;64;29065.8;25
49;660;85;44458.76;42
49;637;84;14463.87;83
49;466;36;32023.35;69
49;926;61;21534.56;37
49;377;89;25044.92;58
49;532;100;39580.76;38
49;631;79;45400.23;46
49;105;8;24597.39;19
49;313;100;23649.63;65
49;192;71;48146.36;68
49;500;63;26772.7;18
49;492;22;12114.59;55
49;1029;64;12564.19;59
49;44;38;32409.1;49
49;120;67;22644.13;15
49;620;18;20082.3;43
49;2;31;48908.85;3
49;1061;28;17614.23;90
49;103;22;15573.13;59
49;163;37;24057.1;58
49;8;59;37570.7;58
49;894;26;17799.26;39
49;777;61;32632.8;20
49;590;34;27876.59;48
50;591;70;14713.67;17
50;766;4;15771.54;55
50;410;62;14903.37;76
50;1073;69;21822.8;52
50;93;76;33983.77;14
50;48;82;27137.27;36
50;386;49;14642.11;8
50;682;28;43776.42;64
50;413;94;19723.99;42
50;1016;2;41707.85;75
50;1056;1;26656.82;33
50;182;11;48868.33;4
51;722;80;43402.73;52
51;891;93;27721.28;78
51;839;17;49465.47;50
51;384;28;20342.15;99
51;66;21;46884.99;73
51;719;48;17499.88;72
51;253;65;28802.32;36
51;685;89;11248.77;41
51;728;46;33596.3;48
51;123;3;12396.59;77
51;421;10;39904.6;56
51;765;37;46991.5;6
51;874;12;34523.45;27
51;671;51;15576.68;67
51;127;78;17490.62;96
51;406;48;26670.14;58
51;740;38;25697.38;45
51;890;18;13798.06;99
51;738;34;17451.85;34
51;1088;55;11956.74;31
51;723;25;16915.14;4
51;38;70;18122.2;62
51;309;54;30547.55;64
51;570;21;43128.43;68
51;100;51;42951.67;96
51;121;84;20804.29;79
51;519;68;11764.38;1
51;827;70;27803.9;91
51;812;95;31665.53;64
51;350;13;22232.69;95
51;825;21;22891.3;36
51;1094;30;10403.28;31
51;340;9;13282.9;61
52;940;46;41080.09;33
52;992;93;33655.21;59
52;998;90;35343.9;46
52;233;22;30741.71;9
52;727;75;49207.46;1
52;835;24;42492.36;68
52;663;73;12004.26;23
52;1096;98;30903.45;55
52;987;75;30784.24;32
52;791;86;26157.96;12
52;599;27;45545.64;32
52;798;12;23147.67;28
52;175;31;29375.85;98
52;200;44;36365.62;56
52;1009;33;36550.87;50
52;141;52;12445.18;9
52;469;44;27292.71;34
52;32;29;42641.13;82
52;258;45;23280.95;41
52;612;87;24319.74;77
52;111;26;23272.53;89
52;754;35;21645.0;7
52;900;92;47642.76;42
52;541;71;34913.21;92
52;167;84;23411.38;61
52;355;22;15431.34;76
53;602;11;33144.72;45
53;652;64;30555.4;75
53;674;51;25225.49;7
53;967;93;17815.21;18
53;830;75;48394.68;67
53;485;80;26473.14;52
53;268;70;38831.57;74
53;136;66;49433.76;62
53;302;62;46703.37;24
53;1065;50;37876.54;42
53;267;68;48655.7;18
53;7;60;35816.18;10
53;569;25;29267.43;48
53;985;79;25633.15;95
53;1051;74;38356.09;96
54;630;20;13155.79;8
54;329;51;22059.86;44
54;131;4;20021.51;66
54;1081;48;20046.61;65
54;980;33;47341.2;7
54;216;75;41017.58;36
54;201;20;36840.3;19
54;778;43;38734.41;38
54;41;69;31326.44;63
54;514;83;35103.73;55
54;289;50;47192.47;71
54;180;45;20033.36;29
54;737;89;42334.99;21
54;222;91;45170.12;83
54;578;65;43265.16;39
54;202;45;12597.56;29
54;729;85;15631.33;12
54;1;18;14034.27;92
54;657;6;20399.12;1
54;391;68;19992.36;38
54;195;76;18728.53;70
54;520;88;28709.36;69
54;823;69;23203.2;17
55;721;44;17364.37;44
55;958;49;43167.09;13
55;10;33;47155.34;20
55;306;65;14782.74;44
55;736;48;46767.94;64
55;858;57;35848.65;20
55;639;63;11372.58;15
55;537;7;33356.47;91
55;101;75;47239.51;1
55;979;76;40421.75;39
55;409;53;44544.91;23
56;860;5;29578.0;84
56;1048;54;23168.65;80
56;1011;22;24275.08;91
56;792;38;21701.07;31
56;666;19;45393.81;42
56;857;76;12849.27;65
56;245;87;15276.55;54
56;521;1;28543.34;80
56;580;46;14026.51;11
56;579;74;45053.08;87
56;833;49;31848.87;45
56;484;32;43202.43;22
56;118;71;31686.13;54
56;838;17;22073.94;87
57;973;60;36693.28;4
57;876;72;16570.75;26
57;941;93;12612.88;88
57;106;90;11248.86;76
57;834;92;31578.81;61
57;5;9;35466.13;70
57;819;62;13656.06;98
57;134;41;41636.02;82
57;129;73;33144.58;28
57;1053;26;19335.48;16
57;51;55;36489.99;2
57;70;31;28152.59;26
57;711;60;33253.63;10
57;429;60;18687.9;34
57;286;29;13368.84;29
57;1000;66;30306.89;68
57;1014;97;32371.36;39
57;218;55;49630.51;54
57;720;6;29198.19;100
57;19;30;14243.28;55
57;23;25;10531.58;78
57;138;59;12829.1;81
57;385;79;46633.37;9
57;551;77;22649.82;67
57;1045;28;45038.37;33
57;441;66;29789.47;13
57;273;22;19014.71;53
58;176;94;47257.9;99
58;506;48;27002.28;45
58;1038;63;38887.83;68
58;935;33;13459.73;38
58;124;57;32570.33;17
58;853;85;42059.77;73
58;810;25;12536.16;8
58;806;32;11388.89;20
58;938;8;27252.68;82
58;692;54;30465.51;14
58;326;83;22877.21;25
58;641;66;38947.8;25
58;1052;17;28057.95;16
58;158;41;21950.67;45
59;20;86;27154.97;32
59;482;5;22393.18;34
59;964;41;26740.79;37
59;199;59;16962.74;4
59;946;78;10735.66;99
59;234;60;33700.89;6
59;556;17;34705.9;84
59;559;70;31019.1;12
60;708;22;25826.68;63
60;221;1;15476.92;1
60;190;65;18796.11;70
60;16;86;27296.26;12
60;223;17;31999.71;92
60;426;99;22952.2;96
60;154;92;27824.43;76
60;473;9;19978.17;73
60;474;60;40407.7;84
60;69;81;42484.09;51
60;321;34;27255.44;84
60;767;22;33000.43;85
60;597;38;32033.64;9
60;615;98;17051.99;82
61;456;4;40418.6;9
61;499;63;22535.65;27
61;334;82;26250.13;67
61;515;83;27027.26;31
61;762;86;37053.49;10
61;505;61;46097.78;96
61;925;96;24571.44;40
61;365;90;25567.49;53
61;613;59;37669.33;7
61;756;11;47149.62;95
61;755;76;47195.08;81
61;886;61;35905.79;34
62;906;2;18281.41;30
62;374;33;41774.78;3
62;57;22;26786.73;84
62;606;28;18510.52;18
62;312;35;47013.79;94
62;910;16;42687.71;93
62;689;88;49588.99;93
62;678;84;22887.95;39
62;718;94;38121.51;89
62;257;29;10148.72;9
62;645;5;41507.27;90
63;356;5;43801.65;70
63;619;62;43792.97;76
63;60;87;22666.93;60
63;314;43;27001.0;49
63;431;81;31376.59;93
63;215;27;43440.81;70
63;888;47;30236.01;63
63;269;60;28526.05;94
63;867;24;48714.96;25
63;1033;78;19404.09;86
63;1095;44;43213.46;56
63;1089;56;37005.81;29
63;544;41;23717.04;53
63;378;6;16334.71;22
64;320;26;12065.34;67
64;741;52;48910.06;32
64;89;26;32381.59;64
64;841;88;39074.31;28
64;9;37;28616.44;68
64;699;33;34979.73;68
65;882;70;31691.73;23
65;79;55;31896.57;90
65;977;30;49656.45;28
65;893;31;34612.77;90
65;848;24;27048.71;88
65;904;96;31937.94;67
65;960;76;42036.11;29
65;148;56;31787.77;22
66;1078;74;35575.9;32
66;185;63;14772.36;58
66;675;96;41816.22;27
66;648;31;49373.52;91
66;115;23;14806.44;98
66;670;60;46015.15;64
66;984;42;35332.72;9
