product_id;material_id;material_yield;disassembly_complexity
92;29;3981.166;6
93;7;3181.178;8
93;32;3436.043;10
93;59;49.858;10
93;5;6136.48;8
94;57;9640.798;1
94;39;4660.25;2
94;6;1479.28;1
94;35;6920.193;1
95;65;3581.872;0
95;50;4052.935;6
96;20;2539.159;6
96;31;3136.092;2
96;6;6468.855;0
96;46;7431.115;1
97;39;6409.208;4
97;14;3357.817;1
97;5;2783.897;3
97;15;7672.654;1
98;65;3261.772;4
99;72;5905.742;8
99;31;2421.182;2
99;19;4964.429;7
100;46;3400.0;1
100;40;8370.311;1
100;47;5676.092;3
100;38;5461.578;9
101;59;8937.352;4
101;44;9133.143;2
102;44;7275.213;1
103;10;4017.698;3
103;5;2104.657;8
103;33;1391.793;3
103;55;2979.295;2
104;1;3561.067;0
105;35;4636.554;3
105;40;9894.546;10
106;25;8013.969;2
106;49;400.654;8
107;55;6177.844;8
107;12;422.698;5
107;48;1027.083;1
107;34;4593.053;9
108;4;3386.732;9
108;37;9488.78;4
108;68;3188.31;4
109;44;7979.277;10
110;23;1738.965;5
110;21;7002.105;1
110;4;1441.502;3
110;27;8271.816;8
111;37;1938.7;0
111;33;4186.934;8
112;2;8680.404;7
112;58;8963.868;5
112;64;8556.239;1
113;1;6742.967;2
113;14;1045.058;4
113;46;1419.175;4
114;65;8154.976;1
114;33;1941.054;2
114;28;880.159;6
115;69;2192.131;1
116;21;924.45;1
116;13;3753.307;7
116;9;6343.831;9
116;26;2487.157;9
117;45;8679.982;2
118;2;4559.603;1
119;53;3554.268;10
120;62;43.086;1
120;46;5850.758;7
120;31;7876.042;5
121;28;5429.561;7
121;27;8653.005;2
121;36;9710.621;4
122;63;6110.521;10
123;24;4329.611;4
123;25;2632.428;2
124;27;4171.28;3
124;12;2201.114;3
124;29;424.429;5
125;61;5135.717;3
125;68;1314.11;6
125;23;8390.529;9
126;16;4631.587;9
127;43;6014.008;0
127;34;2481.487;5
127;7;9747.583;3
127;14;7164.098;7
128;38;2792.499;0
128;69;1028.222;8
128;41;3382.695;0
128;8;6901.235;8
129;44;924.055;8
129;35;4794.316;3
129;41;48.17;3
129;62;1128.997;2
130;55;8337.571;10
130;57;8162.136;9
131;40;28.811;6
131;24;5086.826;8
131;54;270.082;10
132;55;9139.691;3
133;15;496.33;1
133;28;7347.309;9
133;3;7655.805;2
134;3;612.733;10
134;46;328.289;9
134;61;3327.132;6
134;39;2547.591;7
135;22;9895.88;5
135;68;6702.109;7
136;67;9237.611;8
136;24;8829.954;2
136;32;8180.438;3
136;25;4810.869;3
137;37;8021.359;2
137;70;9520.383;2
137;38;8913.867;4
137;31;6671.838;0
138;49;5076.35;0
139;18;134.817;7
139;62;686.909;8
139;28;84.029;9
140;56;3000.021;4
140;30;9501.344;2
141;38;2108.809;2
142;66;157.125;0
142;24;6340.193;7
142;50;3067.4;1
143;60;8032.613;3
143;51;5237.953;8
143;3;9981.448;4
143;27;4601.366;6
144;17;3693.306;0
144;9;8118.375;8
144;59;7423.014;5
145;18;6704.219;8
145;42;7516.84;0
145;68;5689.854;2
146;38;7013.661;6
146;45;7133.88;10
147;37;879.405;1
147;27;4115.687;4
148;62;2822.888;7
148;37;4784.665;5
148;71;3235.753;10
149;49;1746.361;10
150;58;1275.182;10
150;57;7688.281;5
150;26;5765.087;8
150;22;7268.701;1
151;15;7984.064;10
151;43;9810.52;2
151;13;7755.394;1
151;47;3118.792;1
152;38;4402.017;0
152;23;1375.098;4
153;68;6567.482;2
153;22;1518.077;0
153;29;457.887;3
153;15;9607.869;7
154;23;1060.279;2
154;14;4209.463;8
155;28;9538.906;6
155;49;4562.299;2
155;14;3510.932;6
156;9;6803.198;1
156;35;7825.929;5
156;42;2945.138;1
156;1;1295.456;2
157;62;5910.685;8
158;8;1891.901;10
158;2;5799.832;4
158;27;708.579;0
159;40;439.217;0
159;51;3414.668;9
160;15;2714.986;4
160;26;3283.549;8
160;64;1416.776;1
160;9;2297.978;3
161;5;3075.283;10
162;45;5326.578;8
163;15;843.278;9
163;36;2073.829;3
163;61;4483.724;4
163;20;9176.319;3
164;43;2460.346;9
165;11;7504.133;3
166;71;8676.874;4
167;53;1041.294;7
167;52;190.572;6
168;51;1870.437;6
168;61;9231.444;5
168;68;5328.505;1
168;67;4403.334;4
169;46;9574.178;10
169;8;1227.355;9
170;71;1297.607;8
170;52;5465.519;6
170;12;194.589;3
171;50;1970.209;7
171;59;8221.837;3
171;41;1924.372;0
172;11;4045.453;10
172;44;2558.915;8
172;36;8448.029;3
173;72;446.906;9
173;26;522.381;2
174;68;4892.587;8
174;1;2588.874;9
175;13;7507.183;8
175;58;6869.18;8
175;16;9691.674;10
176;69;6735.395;4
176;60;7815.672;4
176;36;1147.861;6
177;29;6125.044;2
177;4;3309.548;4
177;35;7752.147;6
177;53;9318.679;1
178;26;5563.918;2
178;42;7217.329;2
178;31;9835.269;5
178;46;6789.952;5
179;48;187.628;10
179;41;5953.574;4
179;23;9684.834;10
179;9;3165.911;7
180;60;461.698;0
180;67;7807.881;0
181;58;9798.732;10
181;25;952.165;4
181;61;7398.276;7
181;34;5177.97;3
182;67;5577.954;3
183;55;5128.397;4
183;7;1875.587;1
183;62;7897.437;1
184;69;6263.67;5
185;38;7459.263;9
185;22;5082.276;7
185;40;7231.836;10
186;32;3908.288;7
186;30;7503.668;2
186;5;8768.349;10
187;11;8353.119;3
187;30;8332.592;7
187;38;4795.124;10
188;61;9372.568;1
188;57;4919.349;8
188;40;5090.703;3
189;55;7185.409;1
189;54;303.274;2
189;23;7520.603;1
190;19;7837.255;7
190;26;3913.466;1
191;8;477.963;2
191;65;6433.116;2
192;44;7247.358;6
192;37;2879.5;5
193;20;6577.081;8
193;18;9786.004;1
193;52;2280.13;3
193;49;9329.82;10
194;56;4340.949;9
194;36;2474.961;7
194;53;7002.53;1
194;28;7444.833;2
195;62;1051.355;1
195;28;225.633;4
195;47;6203.458;1
196;3;7240.274;7
196;33;2277.735;9
196;70;395.71;7
196;1;9831.32;8
197;14;5303.978;0
197;7;6528.275;2
197;70;1893.778;6
197;16;1598.546;7
198;66;7173.901;9
198;36;1518.952;6
198;52;2245.089;10
198;20;6817.136;0
199;51;8405.854;9
199;29;1625.317;3
199;50;1056.345;6
199;8;9028.592;0
200;20;4422.328;3
201;11;4521.643;8
202;3;4283.427;10
202;32;6290.544;0
202;21;4539.055;5
203;25;5361.461;9
203;22;9092.135;6
204;66;1473.64;5
204;6;4733.342;4
205;3;7949.904;9
205;6;8073.709;5
206;35;7445.166;1
206;11;5868.898;0
206;6;2009.445;7
206;29;5839.797;7
207;49;4908.359;10
207;18;6618.361;3
207;11;3599.632;0
208;51;4177.534;8
208;2;3835.797;3
208;35;8429.693;5
209;63;7879.574;4
209;38;1686.496;5
210;40;9097.056;1
210;63;642.9;4
211;63;3502.53;2
212;65;8187.94;6
212;57;610.853;1
212;16;304.954;3
212;3;469.768;8
213;19;5126.0;2
213;20;1409.625;1
213;18;7065.47;0
214;44;5392.466;0
215;38;7731.908;10
215;65;5229.629;7
216;28;503.921;3
216;46;4273.202;6
217;31;2956.086;2
217;67;6513.474;7
217;28;8814.266;3
217;72;3300.543;10
218;43;6874.305;2
218;26;9554.964;4
219;33;6872.958;8
220;33;4696.855;6
220;66;5092.32;7
220;43;1299.662;10
221;55;1849.994;6
221;68;921.059;5
221;32;9380.717;2
222;39;5290.769;5
222;38;1975.407;5
222;64;9635.305;8
222;8;2817.455;2
223;8;8187.638;6
223;71;7195.612;1
223;4;5869.037;9
223;33;5060.144;3
224;38;893.239;3
224;12;2565.72;7
224;63;1121.626;1
225;19;6542.124;0
225;63;8588.556;3
226;37;5264.835;7
226;36;9239.073;0
227;33;4701.782;9
227;15;7288.88;8
227;23;8087.012;7
228;51;9109.034;6
228;38;7884.967;3
228;19;9757.23;3
228;18;5424.147;9
229;18;4817.342;9
229;38;2822.625;9
229;49;6180.232;0
229;21;3956.893;10
230;54;9575.176;2
230;69;7612.093;9
231;60;6676.394;5
231;11;1792.708;7
232;25;4152.843;4
233;4;1988.684;1
234;57;1650.133;1
234;18;6345.742;8
235;49;6468.718;0
235;12;6718.22;7
236;10;6816.395;5
236;70;5950.638;2
237;49;8106.323;7
238;14;5221.089;6
238;72;9537.792;2
238;58;6819.724;7
239;53;8814.281;4
239;55;9757.072;3
239;11;5261.86;6
240;35;5894.252;0
240;70;2947.007;2
240;3;8626.32;0
241;55;7350.757;8
242;62;8824.283;1
242;36;2647.776;7
243;59;7759.118;5
244;14;7007.479;0
245;20;9455.518;5
246;6;8874.731;8
246;14;9089.492;7
246;35;9518.294;4
247;71;3717.191;3
247;43;3405.548;9
248;7;7364.326;5
248;55;9810.701;7
248;50;9674.914;9
248;37;8134.32;9
249;34;2882.645;1
249;44;4171.804;5
249;20;2913.6;8
249;26;5617.304;5
250;2;7988.543;0
250;53;9986.035;7
250;42;2077.95;7
251;25;2135.28;1
252;40;4703.666;5
252;36;778.098;6
252;24;6681.193;1
253;6;4882.847;2
253;33;8120.102;3
253;20;237.946;2
254;7;2311.523;4
254;4;1030.216;10
254;72;5962.159;3
255;28;8512.301;3
255;68;5945.513;5
256;41;4711.694;6
257;10;3080.663;8
257;1;6189.305;7
257;24;9872.515;6
257;27;7111.685;7
258;13;9074.169;6
258;31;2336.548;2
258;21;5954.779;10
259;53;772.57;1
259;14;8924.476;3
259;15;6486.155;5
259;49;4755.491;2
260;72;5745.565;3
260;36;8016.674;9
261;42;8905.678;8
261;56;5419.176;10
261;25;3419.876;5
261;59;1744.654;10
262;25;6232.807;7
262;1;3853.085;4
262;43;4436.457;6
263;6;3105.337;9
263;32;7876.666;6
264;26;6844.055;8
264;69;9848.089;4
264;13;3935.927;7
264;23;4897.151;6
265;22;8310.994;0
265;29;2622.054;4
265;49;3945.078;0
266;36;2846.464;0
267;23;9229.914;3
267;27;1204.912;3
268;30;7258.457;0
268;45;2938.885;4
269;57;1095.463;2
269;14;29.432;4
269;24;3979.423;1
270;26;7987.472;3
270;72;8219.695;7
270;33;4573.724;4
270;9;4335.397;5
271;28;8683.207;0
271;69;4965.245;3
271;25;2493.276;6
271;6;8323.129;3
272;31;7172.047;2
272;59;3607.112;2
272;53;6229.103;10
273;46;6187.47;9
274;33;2459.994;10
274;23;5615.208;8
274;70;1688.979;2
274;17;5625.234;8
275;49;8655.525;5
276;45;609.716;3
276;54;8236.334;8
277;54;1477.485;10
277;65;7028.98;3
277;69;1990.482;2
278;7;2594.342;2
278;26;2522.342;10
278;33;4519.476;9
278;11;4058.728;5
279;20;3555.651;1
279;27;8962.127;0
280;49;529.436;2
280;45;2057.352;10
280;16;1201.004;7
280;67;7514.767;9
281;28;2170.082;3
281;15;3366.815;4
282;24;4090.559;8
282;60;727.978;5
283;38;6327.031;0
283;5;1432.882;10
283;51;3859.352;6
284;53;7513.037;6
284;36;4530.552;10
285;70;8023.991;3
286;61;3300.931;8
286;45;1711.974;2
286;13;5284.692;0
286;6;9354.967;6
287;29;2678.177;5
287;36;8150.906;10
287;54;6847.009;10
287;24;4936.387;3
288;51;2943.407;0
288;23;5815.753;8
288;25;8969.374;3
288;13;4347.616;10
289;4;8524.991;4
290;68;5699.555;8
290;19;4126.791;0
290;44;9535.851;6
290;52;2197.785;3
291;54;1336.595;1
291;10;440.202;10
291;59;1266.18;5
291;60;2791.795;2
292;49;6908.932;9
292;38;2009.87;1
292;55;3500.166;0
293;69;3101.092;7
293;42;3300.792;3
294;24;5307.06;10
294;52;6364.409;5
294;12;2733.76;7
295;55;9680.796;9
296;34;8954.243;6
297;44;2533.638;9
297;68;7627.775;7
297;4;2621.177;0
297;32;582.373;7
298;17;3623.139;8
298;60;1451.999;10
298;29;552.135;6
299;50;9291.065;7
299;48;4469.913;10
299;2;5954.53;4
300;5;2867.593;3
300;20;5039.862;7
300;7;2220.808;0
301;29;2934.025;7
301;50;9445.04;2
301;14;8353.455;0
301;48;1102.505;4
302;40;9737.415;3
302;32;4976.448;10
302;30;8196.033;5
302;14;9437.365;8
303;72;8800.04;1
303;50;1246.395;2
303;54;2318.647;4
304;59;636.895;5
305;47;3498.933;10
306;71;7683.741;4
306;20;9826.851;7
307;70;4752.766;6
308;30;1918.572;4
309;50;3055.672;3
309;56;566.091;0
309;58;3861.91;10
309;59;8368.876;0
310;7;8167.607;3
311;61;7384.838;9
311;63;3045.876;8
312;13;8423.308;7
313;10;7658.838;9
314;68;9588.624;3
314;35;2731.256;6
315;45;8743.625;6
315;36;3705.602;5
315;48;9085.235;10
315;28;2323.823;10
316;64;3044.129;7
316;61;1004.566;4
317;26;6511.941;7
317;3;2954.925;8
317;56;7622.091;3
317;4;6344.73;6
318;53;4164.414;10
318;60;1999.388;9
318;72;4411.903;0
318;22;8081.015;8
319;11;3018.383;0
319;14;3203.723;8
319;51;3656.394;4
320;4;4060.495;5
320;63;8505.164;9
320;59;1782.719;8
320;23;6448.29;7
321;40;4756.95;2
321;64;7079.123;8
322;25;6660.289;1
322;38;855.124;7
322;41;7445.424;6
323;45;1328.294;4
323;9;4531.116;1
324;17;4536.698;0
324;16;914.451;0
324;69;9806.0;8
324;70;4014.971;2
325;72;5873.384;6
325;19;1241.31;10
325;45;4444.124;2
325;64;7893.855;6
326;15;8748.719;8
326;67;4912.185;10
326;53;3731.33;2
327;22;1541.379;1
327;15;591.822;0
327;1;1616.99;8
328;54;1155.622;0
328;66;2610.6;9
328;58;2152.048;10
329;22;5407.978;2
329;40;739.925;2
330;18;565.121;5
330;16;7683.07;4
330;42;2339.293;10
330;56;3108.455;9
331;20;7664.697;7
331;59;2524.48;2
332;69;890.061;8
333;69;3978.957;5
333;61;3256.968;5
333;29;5587.339;0
333;39;9327.171;4
334;47;2474.956;8
334;62;2971.574;4
335;54;8369.374;3
336;44;1392.663;1
337;33;951.032;10
337;63;5646.332;10
338;61;6327.506;5
338;35;9969.795;6
339;1;9682.317;6
339;53;5080.191;2
339;8;6045.159;9
339;12;4026.819;9
340;44;9662.778;6
340;31;86.599;4
341;38;8652.519;1
342;46;8590.717;3
342;5;5731.44;3
342;61;8168.051;4
342;51;2273.647;9
343;10;9900.649;0
343;31;8288.405;7
343;61;6310.365;9
344;19;7695.527;3
345;39;3599.865;5
345;46;1566.578;0
345;69;3542.719;7
346;21;2593.35;0
346;63;5477.203;5
346;13;8789.704;10
347;72;7285.267;1
347;44;6745.569;5
347;23;7188.539;5
347;34;9070.614;5
348;19;4820.738;0
349;28;2061.264;3
349;26;1402.457;9
350;63;7987.947;3
351;58;2587.87;4
351;65;4912.554;4
351;39;3743.736;1
352;65;8538.833;8
352;47;2755.295;2
353;11;6008.5;1
354;39;3277.233;4
355;25;4559.202;6
356;31;8918.323;7
356;11;9414.204;8
357;66;8644.786;8
357;12;4948.489;1
357;44;5839.011;4
357;42;9253.833;1
358;29;9510.652;3
358;59;8644.777;6
358;38;4252.112;4
358;41;3268.901;5
359;65;9074.889;9
359;4;6282.169;4
359;58;9569.78;4
360;33;2868.52;7
360;9;6304.404;9
361;37;900.159;4
361;67;4230.122;3
362;60;5127.324;0
362;10;4280.227;5
363;27;6825.189;8
363;22;6002.516;1
364;31;4823.878;6
364;47;8770.046;7
364;42;3270.834;7
364;60;1897.413;2
365;70;4147.456;5
365;21;537.0;9
365;25;9416.028;5
365;20;6811.909;10
366;44;9568.673;10
367;57;2683.492;8
367;22;350.358;4
367;68;2659.791;0
367;44;5723.212;6
368;9;2261.435;1
368;14;9730.827;7
368;20;2179.198;0
369;34;7551.817;4
369;39;4149.742;2
370;9;4217.518;3
370;44;3884.178;7
370;40;4848.077;5
371;22;734.314;7
372;14;5329.813;9
372;24;8831.002;0
372;55;2666.508;7
372;41;4793.284;4
373;14;7021.658;4
374;65;7131.766;1
374;20;8924.248;3
375;32;3575.36;10
375;34;1683.259;7
375;66;4057.658;6
375;55;5137.101;10
376;22;6774.116;9
376;26;7596.145;1
376;27;6883.55;10
377;69;487.829;1
377;54;2176.477;7
377;64;2043.59;6
377;18;2577.309;1
378;5;6497.02;0
378;72;6670.254;2
379;62;9722.132;3
380;12;7849.805;10
380;21;6404.118;10
381;45;4362.653;0
381;61;121.833;9
381;20;526.149;7
381;68;4473.391;4
382;4;6460.762;0
382;67;8933.625;2
382;70;1878.913;0
382;58;5998.248;6
383;31;7486.746;0
383;60;6680.778;8
383;51;822.335;5
383;45;6832.825;6
384;30;2222.573;9
384;36;1252.232;0
384;27;9018.747;6
385;37;3584.661;9
385;3;8856.072;5
386;32;191.797;2
386;61;4716.272;9
386;23;8780.347;7
387;27;8196.791;4
388;29;9911.765;1
388;46;7353.77;8
389;7;2121.801;0
390;45;8382.218;10
390;51;8824.075;5
390;23;9237.684;9
391;16;8897.531;4
392;13;2678.869;9
392;11;2576.027;3
392;12;200.641;1
392;14;6113.781;8
393;63;8397.851;0
393;17;7354.318;10
393;28;7333.388;5
393;24;3317.62;10
394;70;2095.549;9
394;64;5368.122;0
394;3;2064.932;7
394;42;1414.663;6
395;17;6455.523;8
395;4;3641.813;3
395;2;6847.128;7
395;72;8776.518;3
396;58;9592.914;3
397;68;3775.342;3
397;28;3894.965;4
398;52;5385.769;9
398;16;6790.466;1
399;46;5542.359;2
399;28;6194.547;5
400;33;5751.997;1
400;65;6057.99;10
400;69;5251.741;4
400;24;2054.872;4
401;8;3649.419;6
401;51;7172.938;9
401;33;2755.558;8
402;66;6759.596;9
402;19;1386.118;10
402;13;6971.071;8
403;24;3184.486;4
403;57;911.4;2
403;52;6691.103;9
403;11;7554.579;0
404;32;8903.513;6
404;8;8366.88;5
404;7;2299.571;3
404;15;9880.577;9
405;43;3056.757;0
405;39;1451.925;6
405;31;9424.606;6
405;41;9713.93;9
406;38;6337.244;5
406;51;1406.257;4
407;37;7730.374;4
407;42;342.832;2
408;40;9211.205;6
408;28;1893.317;7
409;60;7312.16;1
409;65;5434.349;10
409;56;1817.695;7
410;10;8258.45;7
410;15;8865.65;4
410;29;8060.63;8
411;4;4031.562;4
412;72;9669.499;3
412;2;2873.121;1
412;35;9620.5;10
412;63;9780.927;10
413;41;2433.357;2
413;3;7156.39;5
413;37;2823.263;2
413;18;5273.98;4
414;50;3943.596;7
414;69;6160.154;6
415;18;8524.278;5
415;11;253.394;2
415;24;378.883;6
415;17;4584.183;2
416;16;8586.586;0
416;6;8490.7;3
416;1;8276.442;8
416;13;5325.486;4
417;6;5602.967;6
418;30;6138.096;5
418;9;5031.067;3
418;70;7175.297;6
418;60;2905.658;2
419;22;9590.267;9
419;15;5456.793;7
419;54;8358.524;4
420;49;1625.22;1
420;1;3866.973;4
421;30;5318.466;10
421;16;9246.264;10
421;72;1401.922;9
422;17;8373.134;10
423;3;1988.926;1
423;16;8684.461;8
423;48;9316.621;0
423;38;7177.219;4
424;21;9054.14;5
425;24;9011.694;7
425;12;8790.488;4
425;11;3035.552;6
426;71;4114.965;3
426;25;1795.156;2
426;30;6156.068;3
426;39;1085.629;10
427;55;2361.094;8
427;34;8943.371;7
427;61;2101.868;8
427;37;7987.761;10
428;69;7664.003;3
428;31;5733.069;9
429;62;7631.919;3
429;67;3247.853;10
429;37;7528.808;2
429;71;9025.332;10
430;34;193.944;0
430;19;9221.502;6
430;9;8064.355;3
431;21;4603.872;9
431;72;845.804;9
431;18;2155.986;9
431;5;6519.031;3
432;53;8383.819;10
432;43;6328.312;0
432;61;2134.008;0
433;70;4353.869;7
433;2;1875.404;6
433;4;5788.125;6
434;70;2555.266;6
434;39;2819.001;6
434;44;7928.39;4
435;12;1856.182;2
435;66;8160.257;1
435;30;2524.774;9
436;68;2393.889;10
436;65;570.321;8
437;57;6158.005;8
437;58;2770.928;6
438;54;8902.679;0
439;39;5346.39;2
440;47;901.595;2
440;22;6224.198;5
440;52;4339.91;9
441;36;3275.219;3
441;38;223.334;5
441;54;1626.053;2
442;45;6959.187;5
442;20;938.034;0
442;46;62.566;4
443;30;9112.247;8
443;68;2444.417;1
443;5;7333.242;3
444;48;548.397;8
445;72;1162.023;1
445;52;6803.112;4
446;64;5813.99;1
447;15;289.46;7
447;45;6997.86;2
447;36;9970.569;7
447;44;4243.251;4
448;44;4115.728;7
448;26;5909.7;5
448;61;6595.551;0
449;27;8682.99;7
449;44;6045.682;2
450;50;731.365;9
450;64;7920.303;1
450;52;5118.442;1
450;62;3950.208;5
451;12;6174.14;3
451;6;5730.377;0
451;66;4276.748;6
451;2;3179.412;1
452;60;7599.723;5
452;4;7517.827;9
452;25;3641.872;3
453;48;8834.996;8
454;33;6209.547;5
454;38;3432.399;7
454;48;3248.47;9
454;31;1226.167;1
455;6;9105.38;10
455;47;5140.025;4
455;10;6764.293;10
456;54;2029.907;6
457;36;3515.32;9
458;22;6497.964;3
458;58;2117.162;10
458;49;4975.808;8
458;56;1395.887;9
459;27;6421.315;3
460;34;1429.253;3
460;29;1453.44;1
461;59;2865.202;1
461;52;4907.688;9
462;48;4376.875;2
462;4;9687.626;2
462;18;6428.637;2
463;8;8808.155;8
463;12;3854.691;7
463;26;8597.523;6
463;71;1811.093;5
464;44;4435.271;8
464;59;2617.815;2
465;8;6171.502;2
465;2;9390.561;1
465;57;3688.051;5
466;43;3615.384;2
466;18;8229.442;6
467;24;6442.788;10
468;3;1800.589;0
468;20;1974.621;2
468;22;3660.298;6
468;35;2938.926;6
469;27;7914.77;5
469;17;2846.061;9
469;71;9925.091;9
469;24;9328.914;5
470;54;6662.436;5
470;16;9693.624;1
471;3;4975.787;1
471;28;3017.47;9
472;46;7894.31;6
473;48;1175.931;6
473;54;2573.756;8
473;65;4362.65;0
474;42;5634.667;0
475;29;9958.238;6
475;13;4065.43;3
475;46;8505.812;1
475;72;3206.866;1
476;27;7101.988;1
476;56;2593.484;0
476;36;6186.216;3
477;40;7032.246;8
477;30;5588.172;10
477;47;7360.507;8
477;68;1918.703;1
478;36;1198.855;2
478;16;1370.519;2
479;66;4758.654;0
479;48;9430.66;6
479;21;9213.236;5
479;59;5925.146;4
480;18;9572.745;8
480;45;528.014;5
480;26;8226.116;5
481;70;7164.879;7
481;41;9840.304;0
481;28;4664.749;1
481;69;4382.247;3
482;16;8148.232;10
482;56;3324.414;3
482;49;2631.049;2
482;23;9053.502;9
483;67;1478.341;4
484;39;2167.037;10
484;42;3513.828;6
484;7;7890.162;7
484;49;6875.171;3
485;72;3750.088;0
486;25;2569.444;2
486;59;9801.354;7
487;42;7839.676;0
487;60;5167.489;2
487;57;8820.948;10
487;59;1957.132;5
488;57;1800.965;9
488;66;1783.733;7
488;64;9096.862;5
489;12;1427.852;1
489;21;6382.753;2
